0:0:0:0:0:0:0:1 - - [13/May/2020:11:02:27 +0900] "GET /bigdata/board/list.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:02:50 +0900] "GET /bigdata/board/list.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:05:06 +0900] "GET /bigdata/index.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:10:25 +0900] "GET /bigdata/index.do HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [13/May/2020:11:10:33 +0900] "GET /bigdata/mvcboard/view.do?idx=2 HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [13/May/2020:11:10:36 +0900] "GET /bigdata/board/delete.do?idx=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:11:00 +0900] "GET /bigdata/board/delete.do?idx=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:11:17 +0900] "GET /bigdata/board/delete.do?idx=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:11:29 +0900] "GET /bigdata/board/delete.do?idx=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:12:25 +0900] "GET /bigdata/mvcboard/view.do?idx=2 HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [13/May/2020:11:12:26 +0900] "GET /bigdata/mvcboard/view.do?idx=2 HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [13/May/2020:11:12:30 +0900] "GET /bigdata/mvcboard/delete.do?idx=2 HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [13/May/2020:11:13:19 +0900] "POST /bigdata/board/deleteOk.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:13:54 +0900] "GET /bigdata/mvcboard/delete.do?idx=2 HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [13/May/2020:11:14:02 +0900] "POST /bigdata/mvcboard/deleteOk.do HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [13/May/2020:11:14:03 +0900] "GET /bigdata/index.do HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [13/May/2020:11:24:32 +0900] "GET /bigdata/index.do HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [13/May/2020:11:24:40 +0900] "GET /bigdata/board/write.jsp HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [13/May/2020:11:24:40 +0900] "GET /bigdata/css/write.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:25:22 +0900] "GET /bigdata/index.do HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [13/May/2020:11:25:24 +0900] "GET /bigdata/mvcboard/write.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:29:24 +0900] "GET /bigdata/index.do HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [13/May/2020:11:29:25 +0900] "GET /bigdata/mvcboard/write.do HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [13/May/2020:11:40:37 +0900] "GET /bigdata/mvcboard/view.do?idx=2 HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [13/May/2020:11:40:44 +0900] "GET /bigdata/mvcboard/list.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:40:49 +0900] "GET /bigdata/mvcboard/list.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:11:40:54 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [13/May/2020:12:10:48 +0900] "GET /bigdata/board/write.jsp HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [13/May/2020:12:18:08 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [13/May/2020:12:18:09 +0900] "GET /bigdata/board/write.jsp HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [13/May/2020:12:18:33 +0900] "POST /bigdata/board/writeOk.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [13/May/2020:12:18:34 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:12:21:41 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:12:21:44 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [13/May/2020:12:21:51 +0900] "GET /bigdata/board/write.jsp HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [13/May/2020:12:22:04 +0900] "POST /bigdata/board/writeOk.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [13/May/2020:12:22:06 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:12:22:27 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [13/May/2020:12:22:30 +0900] "GET /bigdata/mvcboard/write.do HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [13/May/2020:12:22:39 +0900] "POST /bigdata/mvcboard/writeOk.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:12:23:25 +0900] "GET /bigdata/mvcboard/write.do HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [13/May/2020:12:23:27 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [13/May/2020:12:23:29 +0900] "GET /bigdata/board/write.jsp HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [13/May/2020:12:23:36 +0900] "GET /bigdata/ HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [13/May/2020:12:23:38 +0900] "GET /bigdata/mvcboard/write.do HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [13/May/2020:12:23:49 +0900] "POST /bigdata/mvcboard/writeOk.do HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [13/May/2020:12:23:51 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [13/May/2020:12:24:45 +0900] "GET /bigdata/index.jsp?page=2 HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [13/May/2020:12:24:46 +0900] "GET /bigdata/index.jsp?page=1 HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [13/May/2020:12:24:58 +0900] "GET /bigdata/board/view.jsp?idx=2 HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [13/May/2020:12:25:06 +0900] "GET /bigdata/ HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [13/May/2020:12:25:27 +0900] "GET /bigdata/mvcboard/view.do?idx=1 HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [13/May/2020:12:25:29 +0900] "GET /bigdata/mvcboard/list.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:12:25:52 +0900] "GET /bigdata/mvcboard/view.do?idx=1 HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [13/May/2020:12:25:53 +0900] "GET /bigdata/mvcboard/index.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:12:26:03 +0900] "GET /bigdata/mvcboard/view.do?idx=1 HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [13/May/2020:12:26:03 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [13/May/2020:12:26:24 +0900] "GET /bigdata/mvcboard/view.do?idx=6 HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [13/May/2020:12:33:52 +0900] "GET /bigdata/mvcboard/view.do?idx=6 HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [13/May/2020:12:34:00 +0900] "GET /bigdata/mvcboard/update.do?idx=6 HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [13/May/2020:12:34:00 +0900] "GET /bigdata/css/update.css HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [13/May/2020:12:34:14 +0900] "POST /bigdata/board/updateOk.jsp HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [13/May/2020:12:34:16 +0900] "GET /bigdata/board/view.jsp?idx=6 HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [13/May/2020:12:34:19 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:12:37:41 +0900] "GET /bigdata/mvcboard/update.do?idx=6 HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [13/May/2020:12:37:45 +0900] "POST /bigdata/mvcboard/updateOk.do HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [13/May/2020:12:37:47 +0900] "GET /bigdata/mvcboard/view.do?idx=6 HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [13/May/2020:12:37:51 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [13/May/2020:12:37:55 +0900] "GET /bigdata/index.jsp?page=2 HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [13/May/2020:12:37:56 +0900] "GET /bigdata/board/write.jsp HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [13/May/2020:15:06:27 +0900] "GET /bigdata/mvcboard/view.do?idx=1 HTTP/1.1" 200 2398
0:0:0:0:0:0:0:1 - - [13/May/2020:15:06:27 +0900] "GET /bigdata/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:06:28 +0900] "GET /bigdata/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:06:31 +0900] "GET /bigdata/mvcboard/view.do?idx=5 HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [13/May/2020:15:26:54 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 3497
0:0:0:0:0:0:0:1 - - [13/May/2020:15:26:54 +0900] "GET /bigdata/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:27:38 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [13/May/2020:15:27:39 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [13/May/2020:15:27:44 +0900] "GET /bigdata/mvcboard/view.do?idx=1 HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [13/May/2020:15:27:51 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3372
