127.0.0.1 - - [01/May/2020:12:16:12 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:14 +0900] "GET /project/member.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:14 +0900] "GET /project/css/board.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:14 +0900] "GET /project/img/logo.png HTTP/1.1" 200 13715
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:14 +0900] "GET /project/css/common.css HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:18 +0900] "GET /project/member.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:18 +0900] "GET /project/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:18 +0900] "GET /project/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:18 +0900] "GET /project/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2020:12:16:19 +0900] "GET /favicon.ico HTTP/1.1" 404 761
